product_id,store_id,source_product_id,product_name,category,unit_measure,sale_price,purchase_price,lead_time_days,active,created_at
1,1,SKU-0001,Arroz Costeno 1kg,Abarrotes,kg,4.5,2.68,3,True,2025-08-31 08:00:00
2,1,SKU-0002,Inca Kola 500ml,Bebidas,und,3.0,2.16,3,True,2025-08-31 08:00:00
3,1,SKU-0003,Leche Gloria tarro,Lacteos,und,4.3,2.62,3,True,2025-08-31 08:00:00
4,1,SKU-0004,Detergente Bolivar 1kg,Limpieza,und,8.5,5.76,1,True,2025-08-31 08:00:00
5,1,SKU-0005,Galleta Soda Field,Snacks,und,1.2,0.75,2,True,2025-08-31 08:00:00
6,1,SKU-0006,Shampoo Head&Shoulders,Cuidado Personal,und,14.9,10.03,3,True,2025-08-31 08:00:00
7,1,SKU-0007,Azucar Rubia 1kg,Abarrotes,kg,4.2,2.76,3,True,2025-08-31 08:00:00
8,1,SKU-0008,Coca Cola 500ml,Bebidas,und,3.0,1.79,3,True,2025-08-31 08:00:00
9,1,SKU-0009,Yogurt Gloria 1L,Lacteos,L,7.8,5.47,1,True,2025-08-31 08:00:00
10,1,SKU-0010,Lejia Clorox 1L,Limpieza,L,4.8,3.25,2,True,2025-08-31 08:00:00
11,1,SKU-0011,Chocolate Sublime,Snacks,und,2.0,1.19,3,True,2025-08-31 08:00:00
12,1,SKU-0012,Jabon Dove,Cuidado Personal,und,3.5,2.58,1,True,2025-08-31 08:00:00
13,1,SKU-0013,Fideos Don Vittorio,Abarrotes,und,3.2,2.27,1,True,2025-08-31 08:00:00
14,1,SKU-0014,Agua San Luis 625ml,Bebidas,und,1.5,1.09,3,True,2025-08-31 08:00:00
15,1,SKU-0015,Queso Fresco 250g,Lacteos,und,8.5,6.18,1,True,2025-08-31 08:00:00
16,1,SKU-0016,Jabon Bolivar,Limpieza,und,2.5,1.85,2,True,2025-08-31 08:00:00
17,1,SKU-0017,Papas Lays 90g,Snacks,und,3.5,2.46,3,True,2025-08-31 08:00:00
18,1,SKU-0018,Pasta Dental Colgate,Cuidado Personal,und,5.0,2.89,1,True,2025-08-31 08:00:00
