fact_id,product_id,category,record_date,stock_initial,units_received,units_sold,stock_final,days_since_last_order,last_order_qty,sales_avg_7_days,sale_price,lead_time_days,day_of_week,month,stockout_flag,target_units_sold
1,1,0,2025-08-31,48.0,0,3.0,45.0,0,0.0,3.0,4.5,2,6,8,False,1.0
2,1,0,2025-09-01,45.0,0,1.0,44.0,1,0.0,3.0,4.5,2,0,9,False,3.0
3,1,0,2025-09-02,44.0,0,3.0,41.0,2,0.0,2.0,4.5,2,1,9,False,0.0
4,1,0,2025-09-03,41.0,0,0.0,41.0,3,0.0,2.33,4.5,2,2,9,False,1.0
5,1,0,2025-09-04,41.0,0,1.0,40.0,4,0.0,1.75,4.5,2,3,9,False,3.0
6,1,0,2025-09-05,40.0,0,3.0,37.0,5,0.0,1.6,4.5,2,4,9,False,3.0
7,1,0,2025-09-06,37.0,0,3.0,34.0,6,0.0,1.83,4.5,2,5,9,False,1.0
8,1,0,2025-09-07,34.0,0,1.0,33.0,7,0.0,2.0,4.5,2,6,9,False,0.0
9,1,0,2025-09-08,33.0,0,0.0,33.0,8,0.0,1.71,4.5,2,0,9,False,3.0
10,1,0,2025-09-09,33.0,0,3.0,30.0,9,0.0,1.57,4.5,2,1,9,False,1.0
11,1,0,2025-09-10,30.0,0,1.0,29.0,10,0.0,1.57,4.5,2,2,9,False,0.0
12,1,0,2025-09-11,29.0,0,0.0,29.0,11,0.0,1.71,4.5,2,3,9,False,0.0
13,1,0,2025-09-12,29.0,0,0.0,29.0,12,0.0,1.57,4.5,2,4,9,False,1.0
14,1,0,2025-09-13,29.0,0,1.0,28.0,13,0.0,1.14,4.5,2,5,9,False,1.0
15,1,0,2025-09-14,28.0,0,1.0,27.0,14,0.0,0.86,4.5,2,6,9,False,2.0
16,1,0,2025-09-15,27.0,0,2.0,25.0,15,0.0,0.86,4.5,2,0,9,False,2.0
17,1,0,2025-09-16,25.0,0,2.0,23.0,16,0.0,1.14,4.5,2,1,9,False,0.0
18,1,0,2025-09-17,23.0,0,0.0,23.0,17,0.0,1.0,4.5,2,2,9,False,1.0
19,1,0,2025-09-18,23.0,0,1.0,22.0,18,0.0,0.86,4.5,2,3,9,False,0.0
20,1,0,2025-09-19,22.0,0,0.0,22.0,19,0.0,1.0,4.5,2,4,9,False,0.0
21,1,0,2025-09-20,22.0,0,0.0,22.0,20,0.0,1.0,4.5,2,5,9,False,3.0
22,1,0,2025-09-21,22.0,0,3.0,19.0,21,0.0,0.86,4.5,2,6,9,False,1.0
